Source,Target,Type,Id,Label,timeset,Weight,type,affiltype,regultype varchar
350,GP,Undirected,636,,,2,false,ScienceData,Informal
350,SC,Undirected,637,,,1,false,ScienceData,Informal
350,NRDC,Undirected,638,,,2,false,ScienceData,Informal
350,FOE,Undirected,639,,,2,false,ScienceData,Informal
444S,AFC,Undirected,640,,,2,false,Funder,FormalMOU
ANC,ACC,Undirected,641,,,2,false,Other,FormalMOU
ARC,DOY,Undirected,642,,,1,false,ScienceData,Informal
ANCom,AVCP,Undirected,643,,,1,false,GovernanceLegal,FormalMOU
ANCom,Cal,Undirected,644,,,1,false,GovernanceLegal,FormalMOU
ACE,TFA,Undirected,645,,,2,false,Multiple,Informal
AYEA,OCT,Undirected,646,,,2,false,GovernanceLegal,Informal
ACC,NANA,Undirected,647,,,1,false,Other,FormalMOU
ACC,BP,Undirected,648,,,2,false,Funder,Informal
ACC,CP,Undirected,649,,,2,false,Funder,Informal
ACC,Exx,Undirected,650,,,2,false,Funder,Informal
ACAN,CAN,Undirected,652,,,2,false,ScienceData,Informal
ACAN,SEACC,Undirected,653,,,2,false,ScienceData,Informal
ACSC,LCCN,Undirected,654,,,2,false,ScienceData,Informal
ACSC,NL,Undirected,655,,,2,false,ScienceData,Informal
ACSC,UAA,Undirected,656,,,1,false,ScienceData,Informal
ACSC,UAF,Undirected,657,,,1,false,ScienceData,Informal
ACSC,UAS,Undirected,658,,,1,false,ScienceData,Informal
ACSC,USDA,Undirected,659,,,1,false,ScienceData,Informal
ACSC,NPS,Undirected,660,,,1,false,ScienceData,Informal
ACSC,USFWS,Undirected,661,,,1,false,ScienceData,Informal
ACSC,ADFG,Undirected,662,,,1,false,ScienceData,Informal
ACSC,BLM,Undirected,663,,,1,false,ScienceData,Informal
ACSC,BOEM,Undirected,664,,,1,false,ScienceData,Informal
ACSC,NOAA,Undirected,665,,,1,false,ScienceData,Informal
ACSC,USGS,Undirected,666,,,1,false,ScienceData,Informal
ACRC,USDA-FSL,Undirected,667,,,2,false,ScienceData,Informal
ACRC,UAS,Undirected,668,,,2,false,ScienceData,Informal
ACRC,SNAP,Undirected,669,,,1,false,ScienceData,Informal
ACRC,UAF,Undirected,671,,,1,false,ScienceData,Informal
ACRC,USFWS,Undirected,672,,,1,false,ScienceData,Informal
ACRC,CBJ,Undirected,673,,,1,false,ScienceData,Informal
ACF,AFC,Undirected,674,,,2,false,Funder,FormalMOU
ACF,OAK,Undirected,675,,,1,false,Funder,FormalMOU
DCCED,NVN,Undirected,676,,,2,false,Multiple,FormalMOU
DEC,ACCER,Undirected,677,,,1,false,ScienceData,Informal
DEC,NVN,Undirected,678,,,1,false,Multiple,FormalMOU
ADFG,NSBor,Undirected,679,,,1,false,Multiple,FormalMOU
ADHSS,LCCN,Undirected,680,,,2,false,ScienceData,Informal
ADNR,LCCN,Undirected,681,,,2,false,ScienceData,Informal
AEWC,ICC,Undirected,682,,,2,false,Multiple,FormalMOU
AMHT,ICHS,Undirected,683,,,2,false,ScienceData,Informal
ANTHC,AFN,Undirected,684,,,1,false,Multiple,Informal
ASLC,UAS,Undirected,685,,,1,false,ScienceData,Informal
ASLC,Shell,Undirected,686,,,2,false,Funder,Informal
ASLC,USGS,Undirected,687,,,1,false,ScienceData,Informal
ASLC,NPS,Undirected,688,,,1,false,ScienceData,Informal
